Length,Weight,Fec,SC,Year
311,231,88371,Spring,1970s
296,233,77067,Spring,1970s
313,254,87402,Spring,1970s
299,220,55188,Spring,1970s
292,193,60629,Spring,1970s
297,202,59290,Spring,1970s
304,211,66696,Spring,1970s
301,167,73487,Spring,1970s
310,241,109241,Spring,1970s
303,216,46247,Spring,1970s
293,204,63903,Spring,1970s
296,198,40122,Spring,1970s
295,189,53337,Spring,1970s
319,273,86075,Spring,1970s
302,207,63619,Spring,1970s
295,204,59965,Spring,1970s
304,214,84689,Spring,1970s
318,260,53543,Spring,1970s
321,280,89364,Spring,1970s
311,259,66609,Spring,1970s
318,252,90921,Spring,1970s
302,212,82559,Spring,1970s
321,266,55569,Spring,1970s
302,217,56924,Spring,1970s
309,238,56292,Spring,1970s
329,296,77762,Spring,1970s
314,275,109797,Spring,1970s
283,173,51531,Spring,1970s
312,247,67255,Spring,1970s
307,223,46553,Spring,1970s
318,260,55771,Spring,1970s
284,191,65012,Spring,1970s
310,237,82271,Spring,1970s
308,238,75329,Spring,1970s
300,219,77004,Spring,1970s
309,251,84703,Spring,1970s
310,249,75911,Spring,1970s
318,266,84203,Spring,1970s
279,178,54473,Spring,1970s
295,219,72179,Spring,1970s
320,240,77166,Spring,1970s
303,217,79565,Spring,1970s
295,211,60235,Spring,1970s
302,226,66001,Spring,1970s
294,201,68326,Spring,1970s
289,196,54571,Spring,1970s
286,196,52498,Spring,1970s
285,195,49715,Spring,1970s
302,227,81868,Spring,1970s
295,211,64875,Spring,1970s
294,207,62188,Spring,1970s
289,193,52818,Spring,1970s
290,176,70682,Spring,1970s
301,223,76140,Spring,1970s
296,187,66609,Spring,1970s
284,174,49419,Spring,1970s
289,188,62688,Spring,1970s
292,187,61952,Spring,1970s
292,192,65505,Spring,1970s
291,191,57515,Spring,1970s
286,187,59019,Spring,1970s
302,221,75470,Spring,1970s
285,186,57526,Spring,1970s
313,247,66479,Spring,1970s
310,249,53833,Spring,1970s
292,224,75444,Spring,1970s
319,249,71013,Spring,1970s
305,245,81857,Spring,1970s
290,201,45218,Spring,1970s
322,233,47115,Spring,1970s
303,216,69417,Spring,1970s
314,245,85138,Spring,1970s
287,186,35696,Spring,1970s
326,279,81049,Spring,1970s
318,267,91635,Spring,1970s
298,193,59899,Spring,1970s
320,278,87397,Spring,1970s
312,231,45341,Spring,1970s
342,318,44645,Spring,1970s
310,219,60051,Spring,1970s
303,196,47561,Spring,1970s
295,193,44852,Spring,1970s
274,139,60434,Spring,1970s
291,202,56362,Spring,1970s
320,253,91338,Spring,1970s
327,269,68397,Spring,1970s
318,232,49455,Spring,1970s
293,198,50237,Spring,1970s
299,216,36457,Spring,1970s
290,200,67643,Spring,1970s
295,214,62576,Spring,1970s
285,185,60253,Spring,1970s
317,223,47600,Spring,1970s
318,266,75761,Spring,1970s
341,282,86587,Spring,1970s
342,336,81456,Spring,1970s
337,273,61831,Spring,1970s
335,286,77194,Spring,1970s
334,285,71036,Spring,1970s
298,186,40375,Spring,1970s
331,275,56124,Spring,1970s
325,240,67131,Spring,1970s
335,285,41272,Spring,1970s
334,287,66335,Spring,1970s
336,246,60284,Spring,1970s
319,259,80003,Spring,1970s
321,262,69836,Spring,1970s
321,256,72335,Spring,1970s
343,299,81078,Spring,1970s
312,250,51381,Spring,1970s
341,338,72845,Spring,1970s
327,297,68453,Spring,1970s
322,241,58472,Spring,1970s
363,436,207370,Fall,1970s
338,301,126999,Fall,1970s
339,345,150340,Fall,1970s
361,381,167404,Fall,1970s
332,318,140765,Fall,1970s
333,339,127007,Fall,1970s
334,315,138943,Fall,1970s
316,276,95312,Fall,1970s
312,251,106789,Fall,1970s
320,285,114886,Fall,1970s
329,319,143716,Fall,1970s
316,272,111218,Fall,1970s
323,284,143043,Fall,1970s
355,392,179674,Fall,1970s
289,205,65059,Fall,1970s
338,306,170141,Fall,1970s
332,330,148484,Fall,1970s
312,242,83993,Fall,1970s
312,264,116870,Fall,1970s
358,404,182407,Fall,1970s
338,329,154860,Fall,1970s
343,360,173734,Fall,1970s
354,263,167657,Fall,1970s
348,352,151485,Fall,1970s
332,365,170806,Fall,1970s
348,403,202792,Fall,1970s
360,381,189062,Fall,1970s
351,372,158540,Fall,1970s
379,438,223168,Fall,1970s
356,376,151085,Fall,1970s
360,426,214005,Fall,1970s
342,356,143830,Fall,1970s
348,344,149088,Fall,1970s
312,229,93603,Fall,1970s
326,289,139181,Fall,1970s
359,437,191242,Fall,1970s
378,380,147339,Fall,1970s
325,324,118781,Fall,1970s
353,358,189942,Fall,1970s
347,349,165664,Fall,1970s
325,269,137589,Fall,1970s
362,408,199719,Fall,1970s
